#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,
,xorg-server,
,xorg-xwininfo,
,xorg-xinit,
,ttf-inconsolata,
,ttf-linux-libertine,
,ranger,
,vifm,
,arandr,
,calcurse,
,xcompmgr,
,xorg-xprop,
,dosfstools,
,libnotify,
,dunst,
,exfat-utils,
,sxiv,
,xwallpaper,
,ffmpeg,
,gnome-keyring,
A,gtk-theme-arc-gruvbox-git,
,neovim,
,i3blocks,
,i3lock,
,mpd,
,mpc,
,mpv,
,ncmpcpp,
,networkmanager,
,newsboat,
,firefox,
A,ttf-emojione,
A,ttf-symbola,
,ntfs-3g,
,pulseaudio,
,pulseaudio-alsa,
,pulsemixer,
,imagemagick,
A,sc-im,
A,htop-vim-git,
,maim,
,socat,
,tmux,
A,unclutter-xfixes-git,
,unrar,
,unzip,
A,urlscan,
,w3m,
,xcape,
,xclip,
,xdotool,
,xorg-xdpyinfo,
,xssstate,
,youtube-dl,
,zathura,
,zathura-djvu,
,zathura-pdf-mupdf,
,poppler,
,mediainfo,
,atool,
,fzf,
,highlight,
,xorg-xbacklight,
A,task-spooler,
A,simple-mtpfs,
G,https://github.com/lukesmithxyz/dmenu.git,
G,https://github.com/lukesmithxyz/st.git,
,docker,
,fish,
A,discord,
A,dropbox,
A,popcorntime-bin,
